model,test_rows,train_rows,feature_count,class_labels,accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted
baseline_logistic,358,1430,19,"High, Low, Medium",0.6899441340782123,0.7181873387924774,0.8171524045748932,0.6893362443072167,0.8758209805894146,0.6899441340782123,0.7258160712077408
xgboost,358,1430,19,"High, Low, Medium",0.8743016759776536,0.7943443658805105,0.7139348215516054,0.7293650793650793,0.8535404966211992,0.8743016759776536,0.8545357807927639
