horizon,model_baseline,mae_baseline,rmse_baseline,model_xgboost,mae_xgboost,rmse_xgboost,rmse_improvement_pct,mae_improvement_pct,winner
1,baseline_linear,0.4688799913723681,0.5509252024885476,xgboost,0.3139690301389912,0.3822192904453062,30.622289792006445,33.03850965786937,xgboost
2,baseline_linear,0.4797093723065224,0.5638100118911452,xgboost,0.3500743732352058,0.4210580826652114,25.31915471793625,27.023653602599,xgboost
3,baseline_linear,0.5987154440517825,0.6938947149438298,xgboost,0.3917998062535684,0.4663779853841315,32.78836466972019,34.55992990558601,xgboost
4,baseline_linear,0.619233343316586,0.7172564353682445,xgboost,0.4438744380728179,0.5240821282952672,26.932390920103792,28.318711699947173,xgboost
5,baseline_linear,0.7150980525933915,0.825843005699023,xgboost,0.4505693748723139,0.533536325909407,35.394945258656904,36.99194491744617,xgboost
6,baseline_linear,0.8116656737476836,0.9329804923752888,xgboost,0.5212801017168158,0.6052899252129798,35.12298165292147,35.77650027875119,xgboost
7,baseline_linear,0.9058616528094788,1.0288947837791993,xgboost,0.5570402340764126,0.6454041005345024,37.27209908054058,38.50714042825594,xgboost
